ブランド,グループ名,,最頻値価格
theory,LUXE NEW DIVIDE   WRAP TRENCH,,24000
theory,NEW DIVIDE LUXE ポンチョ,,16000
FOXEY,カシミヤ　ダブルフェイス　コート,,40000
FOXEY BOUTIQUE,Belize Coat,,80000
FOXEY,カシミヤ　チンチラ　ロングコート,,45000
FOXEY,カシミヤ100% ファー　カーディガン,,20000
FOXEY NEW YORK,レイニークッション コート,,30000
FOXEY,27730,,35000
FOXEY,33726,,21000
FOXEY,36155,,22000
FOXEY,28957,,30000
FOXEY,29528,,30000
FOXEY,32378,,23000
FOXEY,37477,,20000
FOXEY,26328,,20000
FOXEY,27614,,23000
FOXEY,33356,,30000
FOXEY,34671,,20000
FOXEY,37785,,28000
FOXEY,39265,,144000
FOXEY,39362,,29000
FOXEY,39475,,24000
FOXEY,39750,,26000
FOXEY,40535,,23000
FOXEY,40837,,31000
FOXEY,43475,,33000
FOXEY,43913,,270000
FOXEY,6278,,30000
FOXEY,18403,,26000
FOXEY,23291,,24000
FOXEY,26129,,24000
FOXEY,26508,,21000
FOXEY,27292,,40000
FOXEY,27451,,48000
FOXEY,27746,,22000
FOXEY,28842,,20000
FOXEY,29238,,54000
FOXEY,30381,,31000
FOXEY,30665,,20000
FOXEY,30903,,27000
FOXEY,31609,,25000
FOXEY,31615,,48000
FOXEY,32059,,22000
FOXEY,32126,,40000
FOXEY,32582,,24000
FOXEY,35979,,43000
FOXEY,36077,,29000
FOXEY,36160,,71000
FOXEY,36285,,34000
FOXEY,36299,,70000
FOXEY,36707,,40000
FOXEY,37738,,30000
FOXEY,37759,,32000
FOXEY,39186,,43000
FOXEY,39234,,23000
FOXEY,39340,,35000
FOXEY,40440,,32000
FOXEY,40746,,35000
FOXEY,40749,,30000
FOXEY,40981,,32000
FOXEY,41099,,47000
FOXEY,41692,,27000
FOXEY,41706,,38000
FOXEY,41751,,45000
FOXEY,42362,,105000
FOXEY,42511,,23000
FOXEY,42666,,34000
FOXEY,42693,,49000
FOXEY,42844,,20000
FOXEY,43198,,36000
FOXEY,43572,,32000
FOXEY,43870,,32000
FOXEY,43967,,26000
FOXEY,6317,,47000
FOXEY,6223,,35000
YORI,21-23065SM,,12000
YORI,2221-069SM,,12000
YORI,SC2121-010AW,,20000
YORI,2221-064SM,,11000
YORI,21-23140SM,,12000
YORI,2221-080SM,,12000
YORI,SC25-23002SP,,18000
YORI,2221-007SP,,11000
YORI,11-23079SM,,12000
YORI,2125-008SP,,16000
YORI,SC2121-006SM,,14000
YORI,21-24050SM,,11000
YORI,21-23066SM,,10000
YORI,21-24052SM,,11000
YORI,21-24065SM,,14000
YORI,SC2221-006SM,,14000
YORI,21-23012SP,,11000
YORI,2111-018SP,,10000
YORI,21-24105K,,12000
YORI,2221-068SM,,13000
YORI,21-25039SP,,33000
YORI,24-24069SM,,16000
YORI,SC21-23017AW,,12000
YORI,SC22-24016SM,,18000
YORI,OHGA-1113,,17000
TICCA,233410212,,50000
TICCA,203410271,,30000
TICCA,213410144,,22000
TICCA,203410271,,30000
TICCA,221410161,,22000
TICCA,0223410031 0223410021,,27000
TICCA,223410173,,28000
TICCA,223410032,,19000
TICCA,243410232,,35000
TICCA,293410161,,24000
TICCA,233410191,,21000
TICCA,TAHA-313,,15000
TICCA,231416082,,16000
TICCA,241401419,,15000
TICCA,TAHS-341,,16000
TICCA,241416422,,20000
CANADA GOOSE,BRONTE PARKA,,26000
CANADA GOOSE,マッケンジー ダウンコート,,26000
CELFORD,フーディマーメイドリバーコート,,19000
CELFORD,ビッグカラーロングコート,,16000
CELFORD,ファーポンチョコート,,35000
CELFORD,カシミア混ノーカラーコート,,15000
CELFORD,ファー襟付きキルティングショートコート,,18000
MAX MARA,ベルテッドコート 女優襟,,45000
MAX MARA,テディ コート,,144000
MAX MARA,ケープ ポンチョ,,120000
